input_file:  ../data/quantile_df.csv
Staring experiment for:  42  features
Getting score for:  relief_elev_focalrange300m_3s 0.4681818170662055 41
Getting score for:  Potassium_2016 0.4666144268353729 41
Getting score for:  Grav_lane_clip 0.4505993218459566 41
Getting score for:  si_geol1 0.46445963216887554 41
Getting score for:  slope_fill2 0.46856857013231834 41
Getting score for:  Clim_Prescott_LindaGregory 0.4616724323004363 41
Getting score for:  be-30y-85m-avg-ND-SWIR1-NIR.filled.lzw.nodata 0.46759498688604895 41
Getting score for:  relief_roughness 0.46035881640702647 41
Getting score for:  be-l8-all-85m-avg-NIR.filled.lzw.nodata 0.4556255959587467 41
Getting score for:  be-l8-all-85m-avg-BLUE.filled.lzw.nodata 0.47781594072569455 41
Getting score for:  clim_EPA_albers 0.46060473170963834 41
Getting score for:  relief_elev_focalrange1000m_3s 0.48054872017297134 41
Getting score for:  Rad2016U_Th 0.47158429084901743 41
Getting score for:  be-30y-85m-avg-SWIR2.filled.lzw.nodata 0.46697987831535154 41
Getting score for:  tpi_300 0.4491832849099789 41
Getting score for:  clim_RSM_albers 0.46673228370412856 41
Getting score for:  be-30y-85m-avg-ND-SWIR1-SWIR2.filled.lzw.nodata 0.4536751816174745 41
Getting score for:  3dem_mag0.fin 0.4705373340604102 41
Getting score for:  Rad2016K_Th 0.4624666344004579 41
Getting score for:  clim_PTA_albers 0.47456004356595904 41
Getting score for:  water-85m 0.4565502049357224 41
Getting score for:  ceno_euc_aust1 0.46986361102125035 41
Getting score for:  dem_fill 0.4475101857778987 41
Getting score for:  3dem_mag2 0.4853902850200298 41
Getting score for:  Thorium_2016 0.4691057349063716 41
Getting score for:  mrvbf_9 0.4697508485534347 41
Getting score for:  LOC_distance_to_coast 0.47352341409474785 41
Getting score for:  clim_WDA_albers 0.45139568377300615 41
Getting score for:  national_Wii_RF_multirandomforest_prediction 0.4607348221545837 41
Getting score for:  be-30y-85m-avg-ND-NIR-GREEN.filled.lzw.nodata 0.4590692157320809 41
Getting score for:  be-30y-85m-avg-CLAY-PC2.filled.lzw.nodata 0.47439785569593595 41
Getting score for:  be-30y-85m-avg-RED.filled.lzw.nodata 0.48326091043796915 41
Getting score for:  s2-dpca-85m 0.46415089533130793 41
Getting score for:  be-30y-85m-avg-GREEN.filled.lzw.nodata 0.46242748600136063 41
Getting score for:  3dem_mag1_fin 0.44571941358788814 41
Getting score for:  be-30y-85m-avg-ND-RED-BLUE.filled.lzw.nodata 0.4739944284750093 41
Getting score for:  LATITUDE_GRID1_clip 0.4716489935187221 41
Getting score for:  relief_mrvbf_3s_mosaic 0.47241731274113674 41
Getting score for:  Dose_2016 0.4636314517822995 41
Getting score for:  saga_wetSM_85_resampled 0.462374586593302 41
Getting score for:  be-30y-85m-avg-SWIR1.filled.lzw.nodata 0.4831319067267239 41
Getting score for:  be-30y-85m-avg_BLUE+SWIR2 0.45600666095902637 41
Results of  1  iteration: 0.44571941358788814 3dem_mag1_fin
Staring experiment for:  41
Getting score for:  relief_elev_focalrange300m_3s 0.464157544037981 40
Getting score for:  Potassium_2016 0.464934055479359 40
Getting score for:  Grav_lane_clip 0.4375427653728733 40
Getting score for:  si_geol1 0.453329344035539 40
Getting score for:  slope_fill2 0.45058132827402103 40
Getting score for:  Clim_Prescott_LindaGregory 0.457122721986666 40
Getting score for:  be-30y-85m-avg-ND-SWIR1-NIR.filled.lzw.nodata 0.45893805800749937 40
Getting score for:  relief_roughness 0.45845351560775466 40
Getting score for:  be-l8-all-85m-avg-NIR.filled.lzw.nodata 0.46530645432373885 40
Getting score for:  be-l8-all-85m-avg-BLUE.filled.lzw.nodata 0.48692714035372653 40
Getting score for:  clim_EPA_albers 0.4513239681709698 40
Getting score for:  relief_elev_focalrange1000m_3s 0.4763367226744651 40
Getting score for:  Rad2016U_Th 0.4700186466221806 40
Getting score for:  be-30y-85m-avg-SWIR2.filled.lzw.nodata 0.4489179436271581 40
Getting score for:  tpi_300 0.4738238613464269 40
Getting score for:  clim_RSM_albers 0.46822548499750305 40
Getting score for:  be-30y-85m-avg-ND-SWIR1-SWIR2.filled.lzw.nodata 0.4651113453313893 40
Getting score for:  3dem_mag0.fin 0.46961973950170444 40
Getting score for:  Rad2016K_Th 0.4579409229237604 40
Getting score for:  clim_PTA_albers 0.4711332363443071 40
Getting score for:  water-85m 0.45926447968153494 40
Getting score for:  ceno_euc_aust1 0.4722255348032242 40
Getting score for:  dem_fill 0.45985652860448695 40
Getting score for:  3dem_mag2 0.4807392893610543 40
Getting score for:  Thorium_2016 0.45550402348233343 40
Getting score for:  mrvbf_9 0.47822504260129833 40
Getting score for:  LOC_distance_to_coast 0.46745333687172336 40
Getting score for:  clim_WDA_albers 0.47549415129161543 40
Getting score for:  national_Wii_RF_multirandomforest_prediction 0.4595072232230739 40
